sec;sdate;NAV BK DB
IXISR;2020-01-20;409,4866
IXISR;2020-01-21;410,3015
IXISR;2020-01-22;410,3614
IXISR;2020-01-23;411,3597
IXISR;2020-01-24;410,8455
IXISR;2020-01-27;404,9558
IXISR;2020-01-28;404,3515
IXISR;2020-01-29;404,7849
IXISR;2020-01-30;400,4633
IXISR;2020-01-31;389,0752
IXISR;2020-02-03;386,0779
IXISR;2020-02-04;391,2658
IXISR;2020-02-05;395,7259
IXISR;2020-02-06;395,7015
IXISR;2020-02-07;395,9562
IXISR;2020-02-10;393,7429
IXISR;2020-02-11;392,7549
IXISR;2020-02-12;390,1431
IXISR;2020-02-13;388,2754
IXISR;2020-02-14;387,3182
IXISR;2020-02-17;386,6752
IXISR;2020-02-18;386,1028
IXISR;2020-02-19;389,6751
IXISR;2020-02-20;391,2466
IXISR;2020-02-21;388,3588
IXISR;2020-02-24;382,1944
IXISR;2020-02-25;382,6468
IXISR;2020-02-26;376,5005
IXISR;2020-02-27;366,31
IXISR;2020-02-28;362,5994
IXISR;2020-03-02;354,6982
IXISR;2020-03-03;367,6559
IXISR;2020-03-04;379,0088
IXISR;2020-03-05;378,5471
IXISR;2020-03-06;365,3956
IXISR;2020-03-09;336,8091
IXISR;2020-03-10;344,9216
IXISR;2020-03-11;341,3762
IXISR;2020-03-12;323,1062
IXISR;2020-03-13;327,7981
IXISR;2020-03-16;309,9709
IXISR;2020-03-17;289,5929
IXISR;2020-03-18;278,1445
IXISR;2020-03-19;259,4055
IXISR;2020-03-20;263,2207
IXISR;2020-03-23;245,7335
IXISR;2020-03-24;238,2204
IXISR;2020-03-26;275,6078
IXISR;2020-03-27;293,7741
IXISR;2020-03-30;283,4066
IXISR;2020-03-31;291,5911
IXISR;2020-04-01;286,5197
IXISR;2020-04-02;288,7885
IXISR;2020-04-03;292,8351
IXISR;2020-04-06;305,7101
IXISR;2020-04-07;302,6449
IXISR;2020-04-08;291,6402
IXISR;2020-04-09;291,7639
IXISR;2020-04-13;288,1325
IXISR;2020-04-14;293,7081
IXISR;2020-04-15;286,2947
IXISR;2020-04-16;272,7708
IXISR;2020-04-17;285,8377
IXISR;2020-04-20;282,0476
IXISR;2020-04-21;276,3751
IXISR;2020-04-22;280,7199
IXISR;2020-04-23;282,1034
IXISR;2020-04-24;273,7495
IXISR;2020-04-27;276,065
IXISR;2020-04-28;275,6567
IXISR;2020-04-29;278,382
IXISR;2020-04-30;293,6202
IXISR;2020-05-04;285,2505
IXISR;2020-05-05;287,2628
IXISR;2020-05-06;286,6753
IXISR;2020-05-08;285,2957
IXISR;2020-05-11;288,3964
IXISR;2020-05-12;282,0994
IXISR;2020-05-13;280,1122
IXISR;2020-05-14;273,4455
IXISR;2020-05-15;270,0638
IXISR;2020-05-18;270,6361
IXISR;2020-05-19;273,8204
IXISR;2020-05-20;275,466
IXISR;2020-05-26;282,6758
IXISR;2020-05-27;283,6123
IXISR;2020-05-28;291,097
IXISR;2020-05-29;294,6176
IXISR;2020-06-02;305,7024
IXISR;2020-06-03;315,9698
IXISR;2020-06-04;313,8837
IXISR;2020-06-05;315,0909
IXISR;2020-06-08;326,5311
IXISR;2020-06-09;322,52
IXISR;2020-06-10;314,2959
IXISR;2020-06-11;307,7307
IXISR;2020-06-12;310,2804
IXISR;2020-06-15;304,7001
IXISR;2020-06-16;319,3443
IXISR;2020-06-17;318,2007
IXISR;2020-06-18;313,215
IXISR;2020-06-19;314,8083
IXISR;2020-06-22;312,1248
IXISR;2020-06-23;310,757
IXISR;2020-06-24;318,632
IXISR;2020-06-25;315,1663
IXISR;2020-06-26;314,3543
IXISR;2020-06-29;314,1873
IXISR;2020-06-30;314,0203
IXISR;2020-07-01;315,7653
IXISR;2020-07-02;320,3018
IXISR;2020-07-03;319,0698
IXISR;2020-07-06;320,2262
IXISR;2020-07-07;321,1877
IXISR;2020-07-08;330,9205
IXISR;2020-07-09;327,0142
IXISR;2020-07-10;325,9359
