sec;sdate;NAV BK DB
IXIIT;2022-12-02;561,35
IXIIT;2022-12-05;561,35
IXIIT;2022-12-06;545,3333
IXIIT;2022-12-07;535,3951
IXIIT;2022-12-08;535,9156
IXIIT;2022-12-09;530,4618
IXIIT;2022-12-12;533,21
IXIIT;2022-12-13;540,5909
IXIIT;2022-12-14;539,8493
IXIIT;2022-12-15;534,7094
IXIIT;2022-12-16;540,5835
IXIIT;2022-12-19;538,3775
IXIIT;2022-12-20;533,7834
IXIIT;2022-12-21;535,0522
IXIIT;2022-12-22;534,6326
IXIIT;2022-12-23;529,9743
IXIIT;2022-12-26;530,4723
IXIIT;2022-12-27;532,1596
IXIIT;2022-12-28;529,1013
IXIIT;2022-12-29;532,1287
IXIIT;2022-12-30;531,0179
IXIIT;2023-01-02;529,4478
IXIIT;2023-01-03;532,3507
IXIIT;2023-01-04;527,0412
IXIIT;2023-01-05;515,6386
IXIIT;2023-01-06;517,4305
IXIIT;2023-01-09;519,1509
IXIIT;2023-01-10;511,6746
IXIIT;2023-01-11;507,7054
IXIIT;2023-01-12;513,9877
IXIIT;2023-01-13;513,457
IXIIT;2023-01-16;518,904
IXIIT;2023-01-17;528,5743
IXIIT;2023-01-18;528,6909
IXIIT;2023-01-19;532,906
IXIIT;2023-01-20;535,15
IXIIT;2023-01-24;533,9142
IXIIT;2023-01-25;529,4297
IXIIT;2023-01-26;534,712
IXIIT;2023-01-27;539,1437
IXIIT;2023-01-30;536,3916
IXIIT;2023-01-31;530,8268
IXIIT;2023-02-01;532,35
IXIIT;2023-02-02;532,4588
IXIIT;2023-02-03;537,8057
IXIIT;2023-02-06;535,3291
IXIIT;2023-02-07;540,1927
IXIIT;2023-02-08;541,7176
IXIIT;2023-02-09;538,1193
IXIIT;2023-02-10;538,2111
IXIIT;2023-02-13;538,1461
IXIIT;2023-02-14;542,1447
IXIIT;2023-02-15;540,8203
IXIIT;2023-02-16;538,2259
IXIIT;2023-02-17;538,7296
IXIIT;2023-02-20;539,2554
IXIIT;2023-02-21;536,2912
IXIIT;2023-02-22;530,5685
IXIIT;2023-02-23;533,2244
IXIIT;2023-02-24;534,7532
IXIIT;2023-02-27;535,8817
IXIIT;2023-02-28;532,8698
IXIIT;2023-03-01;534,6643
IXIIT;2023-03-02;535,4798
IXIIT;2023-03-03;530,4178
IXIIT;2023-03-06;530,4416
IXIIT;2023-03-07;528,2324
IXIIT;2023-03-08;530,7253
IXIIT;2023-03-09;532,8791
IXIIT;2023-03-10;529,1282
IXIIT;2023-03-13;531,7821
IXIIT;2023-03-14;518,9103
IXIIT;2023-03-15;517,9599
IXIIT;2023-03-16;514,9067
IXIIT;2023-03-17;524,3137
IXIIT;2023-03-20;519,4477
IXIIT;2023-03-21;527,6321
IXIIT;2023-03-24;537,3721
IXIIT;2023-03-27;533,0975
IXIIT;2023-03-28;536,4578
IXIIT;2023-03-29;545,345
IXIIT;2023-03-30;541,5027
IXIIT;2023-03-31;540,4057
IXIIT;2023-04-03;543,6949
IXIIT;2023-04-04;543,8214
IXIIT;2023-04-05;542,9652
IXIIT;2023-04-06;540,827
IXIIT;2023-04-10;540,3318
IXIIT;2023-04-11;544,5925
IXIIT;2023-04-12;545,5837
IXIIT;2023-04-13;546,1316
IXIIT;2023-04-14;550,1553
IXIIT;2023-04-17;545,441
IXIIT;2023-04-18;548,4351
IXIIT;2023-04-26;557,3619
IXIIT;2023-04-27;558,3407
IXIIT;2023-04-28;558,3381
IXIIT;2023-05-02;555,0626
IXIIT;2023-05-03;550,3531
IXIIT;2023-05-04;552,9237
IXIIT;2023-05-05;552,0436
IXIIT;2023-05-08;547,3669
IXIIT;2023-05-09;548,5234
IXIIT;2023-05-10;552,8989
IXIIT;2023-05-11;548,4884
IXIIT;2023-05-12;543,6597
IXIIT;2023-05-15;545,3131
IXIIT;2023-05-16;542,8782
IXIIT;2023-05-17;542,4863
IXIIT;2023-05-19;548,7412
IXIIT;2023-05-22;552,1227
IXIIT;2023-05-23;552,8053
IXIIT;2023-05-24;554,2489
IXIIT;2023-05-25;551,3003
IXIIT;2023-05-26;551,724
IXIIT;2023-05-29;554,2054
IXIIT;2023-05-30;551,6042
IXIIT;2023-05-31;554,4994
IXIIT;2023-06-05;554,2348
IXIIT;2023-06-06;554,5017
IXIIT;2023-06-07;553,447
IXIIT;2023-06-08;558,2521
IXIIT;2023-06-09;558,3774
IXIIT;2023-06-12;560,4566
IXIIT;2023-06-13;560,6163
IXIIT;2023-06-14;558,5552
IXIIT;2023-06-15;560,0299
IXIIT;2023-06-16;559,8681
IXIIT;2023-06-19;558,5531
IXIIT;2023-06-20;557,8771
IXIIT;2023-06-21;561,0326
IXIIT;2023-06-22;554,7813
IXIIT;2023-06-23;553,8493
IXIIT;2023-06-26;557,4509
IXIIT;2023-06-27;557,1677
IXIIT;2023-07-03;561,2903
IXIIT;2023-07-04;559,0339
IXIIT;2023-07-05;561,9079
IXIIT;2023-07-06;563,762
IXIIT;2023-07-07;558,2895
IXIIT;2023-07-10;559,3104
IXIIT;2023-07-11;562,4438
IXIIT;2023-07-12;564,0881
IXIIT;2023-07-13;563,5484
IXIIT;2023-07-14;567,7123
IXIIT;2023-07-17;567,478
IXIIT;2023-07-18;564,0332
IXIIT;2023-07-20;566,4972
IXIIT;2023-07-21;567,9042
IXIIT;2023-07-24;567,4651
IXIIT;2023-07-25;568,5158
IXIIT;2023-07-26;571,896
IXIIT;2023-07-27;565,4574
IXIIT;2023-07-28;566,7903
IXIIT;2023-07-31;569,2839
IXIIT;2023-08-01;568,157
IXIIT;2023-08-02;566,6774
IXIIT;2023-08-03;570,5041
IXIIT;2023-08-04;565,6907
IXIIT;2023-08-07;570,0529
IXIIT;2023-08-08;567,3855
IXIIT;2023-08-09;569,829
